date,ticker,open,high,low,close,volume,is_extended_hours,year,month,day,hour
2020-01-17 11:00:00+00:00,AAPL,316.29,316.37,315.15,316.32,43115,False,2020,1,17,11
2020-01-17 10:00:00+00:00,AAPL,316.89,317.24,315.94,316.3,62473,False,2020,1,17,10
2020-01-17 09:00:00+00:00,AAPL,316.21,317.0,315.68,316.91,48992,False,2020,1,17,9
2020-01-16 15:00:00+00:00,AAPL,313.87,315.34,313.63,315.32,38684,False,2020,1,16,15
2020-01-16 14:00:00+00:00,AAPL,313.7,314.29,313.53,313.89,26835,False,2020,1,16,14
2020-01-16 13:00:00+00:00,AAPL,312.9,313.87,312.79,313.68,20056,False,2020,1,16,13
2020-01-16 12:00:00+00:00,AAPL,313.33,313.43,312.53,312.85,18553,False,2020,1,16,12
2020-01-16 11:00:00+00:00,AAPL,312.89,313.76,312.11,313.33,36471,False,2020,1,16,11
2020-01-16 10:00:00+00:00,AAPL,314.55,315.61,312.76,312.86,86831,False,2020,1,16,10
2020-01-16 09:00:00+00:00,AAPL,313.62,315.27,313.6,314.6,77695,False,2020,1,16,9
2020-01-15 15:00:00+00:00,AAPL,312.98,313.01,309.63,311.42,136960,False,2020,1,15,15
2020-01-15 14:00:00+00:00,AAPL,312.69,313.76,312.52,312.92,32344,False,2020,1,15,14
2020-01-15 13:00:00+00:00,AAPL,313.61,314.42,312.25,312.65,38779,False,2020,1,15,13
2020-01-15 12:00:00+00:00,AAPL,313.93,314.56,313.75,313.87,15909,False,2020,1,15,12
2020-01-15 11:00:00+00:00,AAPL,314.56,314.64,313.41,314.18,33796,False,2020,1,15,11
2020-01-15 10:00:00+00:00,AAPL,315.5,315.5,313.84,314.46,38306,False,2020,1,15,10
2020-01-15 09:00:00+00:00,AAPL,311.86,315.42,311.5,315.35,63645,False,2020,1,15,9
2020-01-14 15:00:00+00:00,AAPL,313.52,314.15,311.75,312.67,73264,False,2020,1,14,15
2020-01-14 14:00:00+00:00,AAPL,313.37,315.0,312.21,313.55,118250,False,2020,1,14,14
2020-01-14 13:00:00+00:00,AAPL,314.73,315.83,312.79,313.32,111674,False,2020,1,14,13
2020-01-14 12:00:00+00:00,AAPL,316.47,316.5,314.61,314.71,58580,False,2020,1,14,12
2020-01-14 11:00:00+00:00,AAPL,315.79,316.54,314.66,316.48,119593,False,2020,1,14,11
2020-01-14 10:00:00+00:00,AAPL,313.81,317.51,313.51,315.73,222338,False,2020,1,14,10
2020-01-14 09:00:00+00:00,AAPL,316.65,317.19,313.47,313.74,91577,False,2020,1,14,9
2020-01-13 15:00:00+00:00,AAPL,314.93,317.05,314.64,316.92,127564,False,2020,1,13,15
2020-01-13 14:00:00+00:00,AAPL,313.6,314.96,313.37,314.93,56153,False,2020,1,13,14
2020-01-13 13:00:00+00:00,AAPL,313.13,313.75,312.89,313.56,45309,False,2020,1,13,13
2020-01-13 12:00:00+00:00,AAPL,312.88,313.31,312.46,313.13,44790,False,2020,1,13,12
2020-01-13 11:00:00+00:00,AAPL,312.09,313.39,311.43,312.79,90108,False,2020,1,13,11
2020-01-13 10:00:00+00:00,AAPL,313.01,313.01,311.15,312.06,93965,False,2020,1,13,10
2020-01-13 09:00:00+00:00,AAPL,311.65,313.36,311.65,312.93,95800,False,2020,1,13,9
2020-01-10 15:00:00+00:00,AAPL,310.05,310.38,309.29,310.32,56788,False,2020,1,10,15
2020-01-10 14:00:00+00:00,AAPL,310.71,310.94,309.31,310.05,34601,False,2020,1,10,14
2020-01-10 13:00:00+00:00,AAPL,309.8,310.93,309.8,310.69,88159,False,2020,1,10,13
2020-01-10 12:00:00+00:00,AAPL,311.07,311.07,308.3,309.76,73052,False,2020,1,10,12
2020-01-10 11:00:00+00:00,AAPL,312.06,312.27,310.49,311.22,62215,False,2020,1,10,11
2020-01-10 10:00:00+00:00,AAPL,312.08,312.61,311.67,312.08,66091,False,2020,1,10,10
2020-01-10 09:00:00+00:00,AAPL,310.8,312.1,309.75,312.05,88754,False,2020,1,10,9
2020-01-09 15:00:00+00:00,AAPL,309.03,309.65,308.3,309.6,69758,False,2020,1,9,15
2020-01-09 14:00:00+00:00,AAPL,309.08,309.47,308.79,309.02,54710,False,2020,1,9,14
2020-01-09 13:00:00+00:00,AAPL,307.6,309.77,307.47,309.07,84655,False,2020,1,9,13
2020-01-09 12:00:00+00:00,AAPL,309.97,310.01,306.23,307.5,73025,False,2020,1,9,12
2020-01-09 11:00:00+00:00,AAPL,309.13,310.41,309.08,309.99,74637,False,2020,1,9,11
2020-01-09 10:00:00+00:00,AAPL,308.15,309.45,307.49,309.1,84095,False,2020,1,9,10
2020-01-09 09:00:00+00:00,AAPL,307.18,308.88,306.88,308.26,122551,False,2020,1,9,9
2020-01-08 15:00:00+00:00,AAPL,303.04,304.43,302.3,303.11,140705,False,2020,1,8,15
2020-01-08 14:00:00+00:00,AAPL,302.6,303.06,302.55,303.04,63867,False,2020,1,8,14
2020-01-08 13:00:00+00:00,AAPL,302.67,303.17,302.42,302.56,66020,False,2020,1,8,13
2020-01-08 12:00:00+00:00,AAPL,300.23,302.89,300.23,302.7,60833,False,2020,1,8,12
2020-01-08 11:00:00+00:00,AAPL,297.73,300.15,297.55,300.04,124722,False,2020,1,8,11
2020-01-08 10:00:00+00:00,AAPL,298.44,298.74,297.56,297.73,63886,False,2020,1,8,10
2020-01-08 09:00:00+00:00,AAPL,297.23,299.08,297.21,298.38,38942,False,2020,1,8,9
2020-01-07 15:00:00+00:00,AAPL,299.0,299.55,297.97,298.29,109404,False,2020,1,7,15
2020-01-07 14:00:00+00:00,AAPL,300.09,300.09,298.98,299.01,43347,False,2020,1,7,14
2020-01-07 13:00:00+00:00,AAPL,299.67,300.39,299.67,299.96,13087,False,2020,1,7,13
2020-01-07 12:00:00+00:00,AAPL,298.93,299.6,298.66,299.54,17933,False,2020,1,7,12
2020-01-07 11:00:00+00:00,AAPL,299.49,299.88,298.57,298.89,49399,False,2020,1,7,11
2020-01-07 10:00:00+00:00,AAPL,299.07,299.56,297.59,299.42,61541,False,2020,1,7,10
2020-01-07 09:00:00+00:00,AAPL,299.86,300.88,297.88,298.91,70743,False,2020,1,7,9
2020-01-06 16:00:00+00:00,AAPL,299.83,299.83,299.83,299.83,2,False,2020,1,6,16
2020-01-06 15:00:00+00:00,AAPL,299.38,299.8,298.95,299.74,56210,False,2020,1,6,15
2020-01-06 14:00:00+00:00,AAPL,299.18,299.94,299.01,299.4,21987,False,2020,1,6,14
2020-01-06 13:00:00+00:00,AAPL,298.15,299.32,298.07,299.2,30592,False,2020,1,6,13
2020-01-06 12:00:00+00:00,AAPL,298.29,298.29,297.16,298.15,52035,False,2020,1,6,12
2020-01-06 11:00:00+00:00,AAPL,298.02,299.62,297.65,298.49,37308,False,2020,1,6,11
2020-01-06 10:00:00+00:00,AAPL,296.86,298.21,296.27,298.0,61109,False,2020,1,6,10
2020-01-06 09:00:00+00:00,AAPL,293.76,296.91,292.8,296.73,41072,False,2020,1,6,9
2020-01-03 15:00:00+00:00,AAPL,299.79,299.99,297.68,297.78,50246,False,2020,1,3,15
2020-01-03 14:00:00+00:00,AAPL,299.56,299.93,298.9,299.83,11724,False,2020,1,3,14
2020-01-03 13:00:00+00:00,AAPL,300.25,300.37,298.82,299.42,24464,False,2020,1,3,13
2020-01-03 12:00:00+00:00,AAPL,299.37,300.55,299.37,300.22,38231,False,2020,1,3,12
2020-01-03 11:00:00+00:00,AAPL,298.63,299.78,297.95,299.33,82600,False,2020,1,3,11
2020-01-03 10:00:00+00:00,AAPL,298.83,299.54,297.68,298.6,72654,False,2020,1,3,10
2020-01-03 09:00:00+00:00,AAPL,297.12,300.54,296.52,299.2,98427,False,2020,1,3,9
2020-01-02 15:00:00+00:00,AAPL,299.19,300.47,299.08,300.45,75072,False,2020,1,2,15
2020-01-02 14:00:00+00:00,AAPL,298.46,299.13,298.09,299.13,29743,False,2020,1,2,14
2020-01-02 13:00:00+00:00,AAPL,298.71,298.71,298.11,298.43,28814,False,2020,1,2,13
2020-01-02 12:00:00+00:00,AAPL,298.46,298.78,298.16,298.68,50374,False,2020,1,2,12
2020-01-02 11:00:00+00:00,AAPL,298.0,298.74,297.5,298.38,44103,False,2020,1,2,11
2020-01-02 10:00:00+00:00,AAPL,297.98,298.34,296.62,298.16,48779,False,2020,1,2,10
2020-01-02 09:00:00+00:00,AAPL,296.11,298.13,295.28,298.13,52091,False,2020,1,2,9
2019-12-31 15:00:00+00:00,AAPL,292.26,293.67,292.26,293.62,101608,False,2019,12,31,15
2019-12-31 14:00:00+00:00,AAPL,292.22,292.42,292.01,292.33,14244,False,2019,12,31,14
2019-12-31 13:00:00+00:00,AAPL,292.12,292.3,291.93,292.21,4188,False,2019,12,31,13
2019-12-31 12:00:00+00:00,AAPL,292.05,292.43,291.76,292.13,15847,False,2019,12,31,12
2019-12-31 11:00:00+00:00,AAPL,291.06,292.21,291.06,292.0,16859,False,2019,12,31,11
2019-12-31 10:00:00+00:00,AAPL,292.21,292.21,290.78,291.11,23742,False,2019,12,31,10
2019-12-31 09:00:00+00:00,AAPL,289.91,292.79,289.66,292.18,33571,False,2019,12,31,9
2019-12-30 15:00:00+00:00,AAPL,291.3,292.45,291.1,291.79,77065,False,2019,12,30,15
2019-12-30 14:00:00+00:00,AAPL,292.51,292.56,291.12,291.31,41563,False,2019,12,30,14
2019-12-30 13:00:00+00:00,AAPL,291.6,292.68,291.01,292.6,37994,False,2019,12,30,13
2019-12-30 12:00:00+00:00,AAPL,290.37,291.87,290.27,291.52,56349,False,2019,12,30,12
2019-12-30 11:00:00+00:00,AAPL,287.62,290.82,287.28,290.4,92296,False,2019,12,30,11
2019-12-30 10:00:00+00:00,AAPL,286.89,287.77,285.33,287.68,47994,False,2019,12,30,10
2019-12-30 09:00:00+00:00,AAPL,289.64,289.64,286.41,286.92,35473,False,2019,12,30,9
2019-12-27 15:00:00+00:00,AAPL,290.32,290.42,288.52,289.73,30996,False,2019,12,27,15
2019-12-27 14:00:00+00:00,AAPL,289.82,290.48,289.74,290.3,25661,False,2019,12,27,14
2019-12-27 13:00:00+00:00,AAPL,290.12,290.18,288.18,289.8,28730,False,2019,12,27,13
2019-12-27 12:00:00+00:00,AAPL,290.66,290.88,289.86,290.11,18098,False,2019,12,27,12
2019-12-27 11:00:00+00:00,AAPL,291.29,291.95,290.66,290.67,82195,False,2019,12,27,11
2019-12-27 10:00:00+00:00,AAPL,290.25,292.28,290.14,291.25,78319,False,2019,12,27,10
2019-12-27 09:00:00+00:00,AAPL,291.2,293.94,290.12,290.27,73437,False,2019,12,27,9
2019-12-26 15:00:00+00:00,AAPL,289.16,289.97,288.45,289.96,38105,False,2019,12,26,15
2019-12-26 14:00:00+00:00,AAPL,288.46,289.26,288.42,289.22,19418,False,2019,12,26,14
2019-12-26 13:00:00+00:00,AAPL,288.15,288.6,288.09,288.43,11022,False,2019,12,26,13
2019-12-26 12:00:00+00:00,AAPL,288.63,288.68,287.97,288.18,16282,False,2019,12,26,12
2019-12-26 11:00:00+00:00,AAPL,287.42,288.61,287.42,288.52,36597,False,2019,12,26,11
2019-12-26 10:00:00+00:00,AAPL,285.93,287.42,285.93,287.42,34788,False,2019,12,26,10
2019-12-26 09:00:00+00:00,AAPL,284.84,285.99,284.78,285.9,7266,False,2019,12,26,9
2019-12-26 15:00:00+00:00,AAPL,289.16,289.97,288.45,289.96,38105,False,2019,12,26,15
2019-12-26 14:00:00+00:00,AAPL,288.46,289.26,288.42,289.22,19418,False,2019,12,26,14
2019-12-26 13:00:00+00:00,AAPL,288.15,288.6,288.09,288.43,11022,False,2019,12,26,13
2019-12-26 12:00:00+00:00,AAPL,288.63,288.68,287.97,288.18,16282,False,2019,12,26,12
2019-12-26 11:00:00+00:00,AAPL,287.42,288.61,287.42,288.52,36597,False,2019,12,26,11
2019-12-26 10:00:00+00:00,AAPL,285.93,287.42,285.93,287.42,34788,False,2019,12,26,10
2019-12-26 09:00:00+00:00,AAPL,284.84,285.99,284.78,285.9,7266,False,2019,12,26,9
2019-12-24 12:00:00+00:00,AAPL,283.86,284.54,283.7,284.35,17743,False,2019,12,24,12
2019-12-24 11:00:00+00:00,AAPL,284.23,284.31,283.74,283.89,11881,False,2019,12,24,11
